id,story,query,target,f_comb
2767,[Eric] called his brother [Henry] on the phone. He wanted to go out for some beers. [Barry] took his sister [Christine] to lunch one day. [Barry] 'father [Henry] gave him the money to pay for it. [Henry] and his daughter [Christine] like to read poems together.,"('Christine', 'Eric')",uncle,father-brother
2768,"[Eric] decided to take his son, [Carl], on a ski vacation. [Karen] fixed a big dinner on Sunday and invited her grandson [Carl]. He came and stayed a few hours. [Eric] visited his daughter, [Marlene], for Christmas this year. [Karen] had to pick her son [Eric] up from school because the schools' bus was broke down.","('Marlene', 'Karen')",grandmother,father-mother
2769,"[Vernon] went on a roadtrip with his youngest child, [Drew]. [Vernon]'s son [Andrew] is in the hospital. [Andrew]'s brother [Drew] accidentally hit him with a hammer. [Drew] needed his brother, [James], to help with a problem","('Vernon', 'James')",son,son-brother
2770,"[Kyle] has been a good husband to [Karen] for many years. When he's not spending time with her, he likes to visit his grandson, [Barry]. [Kyle] took his granddaughter [Christine] to the park on Saturday. [Christine]'s brother [Barry] was busy playing football.","('Karen', 'Barry')",grandson,husband-grandson
2771,"[Lonnie] and his brother [Jeffery] got into a fight over who was the better basketball player. [Dionne] is always around her brother [Jeffery]. [Dionne] called her brother, [Lonnie], up to see how he was doing after surgery. [Lonnie] cooked a lovely porkchop for his grandmother [Karen].","('Dionne', 'Karen')",grandmother,brother-grandmother
2772,"[Serena] called [Lisa], her sister, to see if she wanted to go out to eat. [Kyle]'s granddaughter [Lisa] is going off to college. [Carl] and his grandfather [Kyle] are having a great day. [Carl]'s sister, [Lisa], is working and was n't able to join.","('Kyle', 'Serena')",granddaughter,granddaughter-sister
2773,"[Karen] and her husband [Kyle] just got back from their honeymoon in Hawaii. They had a wonderful time there. [Vernon] asked his father, [Kyle] to help him build a birdhouse. [Vernon] was sad to learn that his sister [Kristen] was not going to make it to dinner like they had planned. [Karen] asked her son [Vernon] to help her fix her television.","('Karen', 'Kristen')",daughter,son-sister
2774,"[John] is the grandson of [Kyle] and [Barry] is [John]'s brother. [Barry] wanted to stay with his mother [Theresa] for the weekend, but she insisted that he visit his grandfather [Kyle] instead.","('Theresa', 'Kyle')",father,son-grandfather
2775,"[Eric]'s son, [Carl], had been misbehaving, so [Eric] had to spank him. [Robin] and [Eric] have been happily married for seven years, and are looking forward to another seventy together. [Carl] is a factory worker. He has a wonderful sister by the name of [Serena]. [Eric] took his daughter [Serena] to the store","('Robin', 'Serena')",daughter,husband-daughter
2776,[Barry] was going out to dinner with his sister [Christine] when he received a call from his grandfather [Kyle]. [Theresa] took her father [Kyle] and her son [Barry] to get some ice cream.,"('Christine', 'Kyle')",grandfather,brother-grandfather
2777,"[Shirley] was mad at her brother [Edward], because [Edward] had called her fat. [Andrew]'s mother [Shirley] was present at the thanksgiving service. [Drew] always looked up to his big brother [Andrew] and wanted to be just like him. [Drew] looks to his loving mother [Shirley] for guidance in with his math homework.","('Andrew', 'Edward')",uncle,mother-brother
2778,"[Eric] took his daughter, [Lisa], to the Cavaliers game on Saturday. [Theresa] is teaching her niece, [Lisa] how to bake a homemade apple pie. [Robin]'s husband, [Eric], went off to purchase jewelry for her. [Lisa] and her mother [Robin] went dress shopping on Saturday.","('Robin', 'Theresa')",sister,daughter-aunt
2779,"[Eric] is the proud father of the lovely [Carl] [Carl]'s sister, [Lisa], did n't have time to play with him. She was busy helping her grandmother [Karen] with the dishes. [Eric] was excited to finally spend some one on one time with his daughter [Lisa].","('Carl', 'Karen')",grandmother,sister-grandmother
2780,"[Henry] was happy that his son [John] was doing well in college. [Vernon] is so proud of his son. [Andrew] is the son's name. [Henry] and his brother [Vernon] were playing tag in the park. [Vernon] was busy planning his nephew, [John]'s, birthday party with his sister.","('Henry', 'Andrew')",nephew,brother-son
2781,"[Lonnie] received a call from his father, [Edward]. [Edward] asked where [Lonnie]'s sister, [Dionne], was. [Kristen] took her daughter [Dionne] to see her very first ballet performance. [Kristen] returned home from work to find her daughter Jesse asleep on the couch. Jesse's older brother [Lonnie] was doing his homework in his room.","('Dionne', 'Edward')",father,brother-father
2782,"[Edward] is a man with a son named [Benny]. [Lonnie] went to the park with his father, [Edward]. [Edward] read his daughter [Dionne] a bedtime story. Soon she was fast asleep. [Lonnie] and his brother [Benny] went out for lunch. [Lonnie] had a burger, and [Benny] had a chicken sandwich.","('Lonnie', 'Dionne')",sister,father-daughter
2783,"[Barry] hated [Henry], so [Barry] ran away from home. [Barry] figured [Henry] did n't like being hid dad anyhow. [Christine] was shopping for a new jacket with her father [Henry]. [Barry]'s sister [Christine] asked him for some help planting her garden. [Christine] took her younger sister [Verdie] to the carnival last weekend.","('Verdie', 'Henry')",father,sister-father
2784,"[Lonnie] liked playing with his brother [Benny] more than anyone else. This made [Dionne] jealous of her brother [Benny]. [Jeffery] liked to play games with his sister, [Dionne]. [Dionne] does n't like having to babysit her younger brother, [Lonnie].","('Jeffery', 'Lonnie')",brother,sister-brother
2785,[Andrew]'s dad [Vernon] is the CEO of the company. [Andrew] went to the baseball game with his brother [Drew]. [Vernon] and his son [Drew] went to the park to look for different kinds of birds. [Andrew] is making a very special present for his wife [Margaret].,"('Margaret', 'Vernon')",father-in-law,husband-father
2786,"[Christine] was talking about food with her sister [Verdie]. [Barry]'s mom, [Theresa], took him and her daughter, [Christine], out for lunch, [Christine] and her brother [Barry] went to the basketball game and had a great time.","('Barry', 'Verdie')",sister,sister-sister
2787,"[Robin] and her daughter [Serena] went to church. They were both very religious. [Serena] loves her grandfather [Kyle] very much [Eric] and his wife, [Robin], went to a football game. [Eric] had a wonderful time, but [Robin] was bored. [Eric] is coaching his daughter [Serena]'s softball team this summer.","('Eric', 'Kyle')",father,daughter-grandfather
2788,[Karen] borrowed her son [Henry]'s phone. [Henry]'s daughter [Christine] was not surprised about it. [Christine] and [Verdie] got into a fight as sisters sometimes do. [Verdie]'s father [Henry] yelled at them to behave.,"('Karen', 'Christine')",granddaughter,son-daughter
2789,"[Shirley] took her father [Kyle] out for his birthday. They had a wonderful time. [Shirley], [Andrew] mother, likes to take him to eat ice cream on Sundays. [Stacy] and her mother [Shirley] visited her grandfather [Kyle]","('Andrew', 'Kyle')",grandfather,mother-father
2790,"[Henry] went on a roadtrip with his youngest child, [John]. [Barry] love his brother [John]. They are always playing together. [Henry] and his son, [Barry], recently heard that [Kyle] was in the hospital. [Barry] loves his grandfather very much, and went to visit [Kyle] immediately, but [Henry] was too busy.","('Henry', 'Kyle')",father,son-grandfather
2791,[Karen] and her daughter [Kristen] went out to dinner. [Dionne] and her mother [Kristen] attended a play at the theater. [Kristen] told her son [Jeffery] to go outside and play. His sister [Dionne] went with him.,"('Karen', 'Dionne')",granddaughter,daughter-daughter
2792,"Everyone said [Carl] looked just like his father, [Eric]. They had the same build, facial features, and even combed their hair in a similar style. [Henry] made dinner reservations for his sister [Shirley]. [Henry] looked up to his older brother named [Eric]. [Eric] was very strong and quite brave and that's the reason [Henry] admires him. [Shirley] and her brother [Eric] were having a wonderful time at Disneyland.","('Henry', 'Carl')",nephew,brother-son
2793,"[Shirley] is very proud of her son. His name is [Andrew]. [Drew] had always loved visits from his Aunt [Robin], as she was funny and had an outgoing personality. [Shirley] asked her son [Drew] to help her fix her television. [Robin] and her sister [Shirley] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while.","('Andrew', 'Robin')",aunt,mother-sister
2794,[Serena] is the proud daughter of [Eric]. [Serena] also has a brother named [Carl]. [Marlene] went to the party with her brother [Carl] and her sister [Serena].,"('Eric', 'Carl')",son,daughter-brother
2795,"[Eric]'s sister, [Theresa], was crying, so he told her a joke. She laughed, and felt better. [Theresa]'s brother, [Vernon], was getting ready to start a new job. [Theresa] was very happy for him. [Theresa] has a son called [John]. Each day they go to the park after school. [Vernon] called his brother [Eric] on Friday because it was his birthday.","('Vernon', 'John')",nephew,sister-son
2796,"[Theresa] recently went on a trip to visit her niece [Dionne]. [Kristen]'s daughter, [Dionne], asked her mom to read her a story. [Theresa] and her sister [Kristen] went shopping at the mall. [Theresa]'s daughter [Verdie] stayed home to study.","('Kristen', 'Verdie')",niece,sister-daughter
2797,"[Kristen] and her sister [Theresa] were fighting. They never fight long though, and they made up the next day. [Henry] went on a roadtrip with his youngest child, [John]. [John] loved his mother, [Theresa], very much. [John]'s father has a sister named [Kristen].","('Henry', 'Kristen')",sister,son-aunt
2798,"[Serena] took her father [Eric] out to dinner for Father's Day. [Arthur] asked his father [Eric] if he could borrow some money. [Serena] borrowed some money from her brother [Arthur]. [Allen] enjoys the company of his wife, [Serena], in the evenings.","('Allen', 'Eric')",father-in-law,wife-father
2799,"[Arthur]'s grandfather [Kyle] made a pretty card for his brother, [Carl]. [Eric] went to the park with his father, [Kyle]. [Eric] was delighted to watch his son [Arthur] steal third base in the Championship baseball game.","('Kyle', 'Carl')",grandson,grandson-brother
2800,"[Shirley] is going to visit her mother, [Karen]. Her daughter, [Constance], asked to come along. [Shirley] took her son [Drew] to the animal shelter to adopt a cat. [Drew]'s grandmother, [Karen], was invited but could not make it because she had the flu.","('Constance', 'Karen')",grandmother,mother-mother
2801,[Vernon] is stronger than [Andrew] because he's his father. [Constance] is weaker than [Vernon] since she's his daughter [Vernon] has a great father relationship with the beautiful [Stacy]. [Andrew] and his sister [Stacy] were hoping for a snow day.,"('Andrew', 'Constance')",sister,father-daughter
2802,"[Shirley] took her son, [Andrew], to the movie theater for his birthday. [Drew] is a factory worker. He has a wonderful sister by the name of [Stacy]. [Shirley] loved to care for her newborn child [Drew]. [Drew] and his brother [Andrew] went to see a baseball game on Friday and had a great time.","('Shirley', 'Stacy')",daughter,son-sister
2803,"[Shirley] 'son, [Andrew] wanted to go to the store. He asked his sister, [Constance] if she wanted to go too. [Shirley] told her daughter [Constance] to wash up. Dinner was ready. [Eric] often plays with [Constance] on the weekends. [Eric] plays with [Constance] because he babysits her for his Brother, which makes [Eric] [Constance]'s Uncle.","('Shirley', 'Eric')",brother,daughter-uncle
2804,[Barry] and his wife [Amanda] were excited to go to dinner with his mother [Theresa]. [Theresa] and her daughter [Christine] went to the park. [Christine] did not invite her brother [Barry] to go to the park.,"('Amanda', 'Theresa')",mother-in-law,husband-mother
2805,"[Kristen] and her mother [Karen] had a coffee date, and [Kristen]'s sister [Shirley] showed up in the middle of it. [Kyle] bought his wife [Karen] roses. [Karen] and her daughter [Shirley] went out for ice cream. [Karen] got a cone and [Shirley] got a sundae.","('Kyle', 'Shirley')",daughter,wife-daughter
2806,"[Kyle]'s granddaughter [Serena] asked to interview him for a school project. [Karen], [Kyle]'s wife, baked cookies for them ahead of time. [Serena] needed to go to the store. [Serena] asked her sister [Marlene] for a ride. [Marlene] went to the opera with her grandfather [Kyle].","('Karen', 'Serena')",granddaughter,husband-granddaughter
2807,"[Christine] asked her mom, [Theresa], to watch the dog while she was away. [Christine]'s brother, [Barry], did it because he is better with dogs. [Verdie] asked her mother, [Theresa], to help her with her math homework. [Theresa] said she would, as soon as she put her son [Barry] to bed.","('Verdie', 'Barry')",brother,mother-son
2808,[Stacy] gave her brother [Andrew] a new sweater for Christmas. [Stacy] has a sister named [Constance] and a brother named [Drew]. [Drew] and his brother [Andrew] went to the arcade. They had a wonderful time.,"('Stacy', 'Constance')",sister,brother-sister
2809,[Carl] visited his aunt [Shirley]. [Robin] loves cooking for her son. His name is [Carl]. [Robin] gets along with her brother [Edward] better than her sister [Shirley].,"('Edward', 'Shirley')",sister,sister-sister
2810,"[Edward] told his daughter [Dionne] that her grandfather, [Kyle], wanted to speak to her. [Dionne] called [Kyle] up to see what he wanted. [Edward] took his father, [Kyle], to a baseball game downtown. They invited [Jeffery] along, because [Edward] is [Jeffery]'s father.","('Jeffery', 'Kyle')",grandfather,father-father
2811,"[Edward] went hunting with his son, [Lonnie]. [Benny] does n't like his aunt [Shirley] very much. [Shirley], on the other hand, adores [Benny], and would do anything for him. [Shirley] took her brother [Edward] to work Monday because his car was in the shop getting a tune up. [Edward] loved teaching his son, [Benny], baseball.","('Lonnie', 'Shirley')",aunt,father-sister
2812,[Shirley] was trying to calm down her daughter [Stacy]. [Stacy] was upset because her brother [Drew] kept making fun of her. [Drew] likes to go fishing with his sister. Her name is [Constance]. [Stacy] and her sister [Constance] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while.,"('Drew', 'Shirley')",mother,sister-mother
2813,"[Kyle] is watching his granddaughter [Constance] while her mom [Shirley] is at work. [Stacy] was excited for today, its her daughter's, [Shirley], spring break. She will finally get to see her. [Constance] took her younger sister [Stacy] to the carnival last weekend.","('Shirley', 'Kyle')",father,daughter-grandfather
2814,[Karen] wanted to buy something nice for her granddaughter [Marlene]. [Karen] called [Marlene]'s sister [Serena] for a suggestion. [Eric] took her daughter [Marlene] for ice cream. [Eric] read a bedtime story to his daughter [Serena].,"('Serena', 'Karen')",grandmother,sister-grandmother
2815,"[Vernon]'s mother [Karen] wanted to surprise him for his birthday, so she baked him a cake. [Vernon] bought a book for his son [Andrew]. [Vernon] has a great father relationship with the beautiful [Stacy]. [Andrew] and his sister [Stacy] stood in line at the fair.","('Stacy', 'Karen')",grandmother,father-mother
2816,"[Vernon] and his daughter, [Constance] go to concerts every week. [Constance] went to visit her aunt, [Kristen], who's birthday was yesterday. [Drew] wanted to get a good gift for his sister, [Constance] [Drew] asked his father, [Vernon] to help him build a birdhouse.","('Vernon', 'Kristen')",sister,daughter-aunt
2817,[Benny] and his son [Edward] are playing a father-son game of basketball. [Lonnie] is waiting to go to dinner with his dad [Edward]. [Benny] likes to watch boxing with his brother. His name is [Lonnie]. [Benny]'s grandfather [Kyle] is going to [Benny]'s birthday party.,"('Lonnie', 'Kyle')",grandfather,brother-grandfather
2818,"[Karen] went to visit her grandmother, [Serena], in the retirement home. [Eric] was taking his daughter [Marlene] to the mall to buy some new shoes. [Serena], [Marlene]'s sister, was glad because she finally had the house all to herself for a few hours. [Eric] loves his daughter [Serena].","('Eric', 'Karen')",mother,daughter-grandmother
2819,"[Henry] has a son named [Barry] that looks exactly like him. [Verdie] needed to go to the store. [Verdie] asked her sister [Christine] for a ride. [Verdie] gave her brother [Barry] a new sweater for Christmas. [Henry] taught his daughter, [Verdie], how to ride a bike.","('Christine', 'Henry')",father,sister-father
2820,"[Eric] bought his daughter, [Marlene], flowers. [Arthur] and his father [Eric] played video games all day last Saturday. [Marlene] and [Arthur] have a brother named [Carl]","('Arthur', 'Carl')",brother,sister-brother
2821,"[Kyle] was excited to see his granddaughter, [Verdie]'s, play. [Verdie] loves to watch stand up comedy with her brother. His name is [John]. [Kyle] and his grandson [John] went to the mall to get some new clothes for both of them. [Verdie] was talking about food with her sister [Christine].","('Kyle', 'Christine')",granddaughter,granddaughter-sister
2822,"[Eric] picked p his daughter [Marlene] from work and took them to meet up with his father, [Kyle], at the local diner. [Carl]'s father's name is [Eric]. [Carl] and his sister [Marlene] walked to school together every day, since they only lived two blocks away from the school.","('Kyle', 'Marlene')",granddaughter,son-daughter
2823,"[Kristen]'s daughter Paula went to law school. Paula's brother [Benny] ended up working in a fast food restaurant. [Kristen] bought a new video game for her son [Lonnie]. [Dionne] asked her brother, [Lonnie], what he was doing this weekend. [Lonnie] told her he was spending it with his brother [Benny].","('Dionne', 'Benny')",brother,brother-brother
2824,"[Jeffery] and his father [Edward] went jogging by the lake. [Theresa] did not go to her brother [Edward]'s baseball game because her and her mother, [Karen] were at the store. [Karen] was unhappy with her son, [Edward], and his grades. She enlisted a tutor to help him.","('Karen', 'Jeffery')",grandson,son-son
2825,[Andrew] and his brother [Drew] wanted to backpack across Europe together once they graduated college. [Drew]'s sister [Constance] did not want to go shopping but her grandmother [Karen] forced her to. [Karen] kept her grandson [Drew] last weekend so his parents could go to a concert.,"('Andrew', 'Karen')",grandmother,brother-grandmother
2826,"[Dionne] went to the park to feed birds with her grandfather [Kyle]. [Benny] is going to the arcade with his sister, [Dionne]. [Jeffery]'s grandfather [Kyle] took him and his sister [Dionne] to the beach to play in the tide pools.","('Benny', 'Kyle')",grandfather,sister-grandfather
2827,"[Vernon] is the loving father of his wonderful child [Constance]. [Constance] loves [Vernon]. [Vernon] was playing football in the yard with his brother [Edward]. [Vernon]'s daughter, [Stacy], was fingerpainting in the grass. [Constance] was sewing a sweater for her sister [Stacy].","('Stacy', 'Edward')",uncle,father-brother
2828,[Shirley] took her son [Drew] to the football game. [Vernon] had a great day with his son [Drew]. After a long day of fishing he finally returned home to a beautiful meal cooked by his wife [Shirley]. [Drew] has always wanted to go to Disneyland. His uncle [Henry] has promised to take him this summer.,"('Shirley', 'Henry')",brother,son-uncle
2829,"[Stacy] and [Andrew] had a picnic at the park. They had sandwiches and salad. [Karen] took her grandson [Andrew] to taekwondo practice. [Drew] wanted to get a good gift for his sister, [Stacy] [Andrew] and his brother [Drew] played at jacks.","('Karen', 'Stacy')",granddaughter,grandson-sister
2830,"[Lonnie] braided his sister [Dionne]'s hair. [Edward] drove his daughter [Dionne] to school yesterday because she missed the bus. [Lonnie] and his wife [Sarah] made fresh bread for lunch. [Edward], [Lonnie]'s father, came over and brought salad to share.","('Sarah', 'Edward')",father-in-law,husband-father
2831,"[Vernon] bought his wife [Shirley] a new phone for her birthday. She loved it. [Vernon] is raising his daughter, [Constance] all by himself. [Drew] braided his sister [Constance]'s hair. [Drew]'s father [Vernon] is going to coach the team this year.","('Shirley', 'Constance')",daughter,husband-daughter
2832,"[Barry] and her sister [Christine] decided to take a trip to Mexico together. [Barry] called for his wife [Amanda] for dinner from the kitchen window. She was painting the deck outside with [Barry]'s father [Henry]. [Henry] bought his daughter, [Christine], flowers.","('Henry', 'Amanda')",daughter-in-law,son-wife
2833,"[Karen] loves her granddaughter [Serena]. She thinks she's the sweetest child in the world. [Kyle]'s wife, [Karen] was hungry, so [Kyle] cooked her her favorite meal. [Karen] played cards with her grandson [Carl]. [Carl]'s sister [Serena] played video games instead.","('Kyle', 'Serena')",granddaughter,wife-granddaughter
2834,[Eric] took his sister [Theresa] out to dinner for her birthday. [Karen] is taking he son [Eric] and her daughter [Theresa] to the park. [Theresa] is so happy for her son. Her son [Barry] just joined the Army.,"('Barry', 'Eric')",uncle,mother-brother
2835,"[Constance] is the happy daughter of her adoring father [Vernon]. [Henry] decided to take his son, [John], on a ski vacation. [Vernon] went with his nephew [John] to the gas station, they both had to use the men's restroom. [Henry] is a man with a brother named [Vernon].","('Henry', 'Constance')",niece,brother-daughter
2836,[Edward] loves watching movies with his daughter. Her name is [Dionne]. [Edward] took his son [Jeffery] to school this morning because he missed the bus. [Edward] watched his son [Lonnie] play catch. [Lonnie] tossed the ball back and fourth with his brother [Jeffery].,"('Dionne', 'Jeffery')",brother,father-son
2837,"[Kyle] is making a very special present for his wife [Karen]. [Benny] and his brother [Lonnie] fight a lot. Despite this, they still love each other very much. [Benny] ca n't wait to see his grandfather [Kyle] later this week. [Kyle] brought his grandson, [Lonnie], out to lunch.","('Karen', 'Benny')",grandson,husband-grandson
2838,"[Robin]'s daughter, [Marlene], just graduated high school. [Robin] noticed her daughter [Serena] was n't feeling well. [Serena]'s sister, [Marlene], went to get medicine. [Robin] is very proud of her son. His name is [Carl].","('Carl', 'Marlene')",sister,mother-daughter
2839,"[Vernon] is so proud of his son. [Andrew] is the son's name. [Casey] and [Stacy] celebrated their one year anniversary of marriage today. [Vernon] and his daughter, [Stacy] go to concerts every week. [Andrew] and his sister [Stacy] went to the park.","('Vernon', 'Casey')",son-in-law,daughter-husband
2840,[Christine] and her mother [Theresa] planned a surprise birthday party for [Christine]'s husband [Darnell]. [Theresa] made a pie for her daughter [Verdie]. [Verdie]'s sister [Christine] really enjoyed it.,"('Darnell', 'Theresa')",mother-in-law,wife-mother
2841,"[Vernon] went hunting with his son, [Drew]. [Constance] went to the party with her brother [Drew] and her sister [Stacy]. [Drew] took his sister [Stacy] out to dinner for her birthday.","('Stacy', 'Vernon')",father,brother-father
2842,[Theresa] is the proud daughter of [Kyle]. [Theresa] also has a brother named [Vernon]. [Karen] surprised her husband [Kyle] by send flowers to his office on their anniversary. [Kyle] is helping his son study. His name is [Vernon].,"('Karen', 'Vernon')",son,husband-son
2843,"[Edward] and his brother [Henry] went to the boxing match. [Shirley] was upset her brother [Edward] did n't invite her. [Shirley] borrowed some money from her brother [Henry]. [Henry]'s mother, [Karen], was calling him for dinner.","('Shirley', 'Karen')",mother,brother-mother
2844,"[Kyle] and his daughter [Shirley] go to the beach every year. They always have an amazing time. [Shirley] dotes on her son [Drew]. Because of this, [Drew] is pretty spoiled. [Shirley] was very proud of her son, [Andrew]. She did n't feel the same way about his brother, [Drew], she thought he was a disgrace.","('Kyle', 'Drew')",grandson,daughter-son
2845,"On Friday, [Karen] had lunch with her granddaughter, [Stacy]. It was [Stacy]'s birthday, so they celebrated by having cake. Afterwards, [Stacy] left to go see a movie with her brother, [Andrew]. [Andrew] loves his sister, [Constance] very much. [Constance] is just like her sister, [Stacy].","('Karen', 'Andrew')",grandson,granddaughter-brother
2846,"[Carl] and his sister [Marlene] went to the park. [Serena]'s sister [Marlene] painted a picture for [Serena]'s mother, [Robin]. [Serena] went on a vacation with her brother [Carl].","('Robin', 'Marlene')",daughter,daughter-sister
2847,"[Vernon] and his brother [Edward] are constantly trying to one up each other. [Karen] took her son [Edward] to school this morning because he missed the bus. [Karen] and her son [Vernon] went to the zoo and then out to dinner yesterday. [Edward] needed his brother, [Eric], to help with a problem","('Karen', 'Eric')",son,son-brother
2848,"[Robin] scolded her daughter, [Marlene]. [Marlene] had been teasing her brother, [Arthur], and [Robin] wanted her to stop. [Robin]'s son, [Arthur], was busy with school activities and forgot to meet his sister. [Robin] is [Eric]'s first wife","('Eric', 'Arthur')",son,wife-son
2849,"[Karen] wrote a nice letter to her grandson [Arthur]. [Carl] took his brother [Arthur] to Las Vegas to go gambling. [Carl] and his grandmother [Karen] went to the ice cream shop/ [Kyle] took the kids to a babysitter so he could have a great date with his wife, [Karen].","('Kyle', 'Arthur')",grandson,wife-grandson
2850,"[Shirley] is the mother of a son named [Andrew]. [Shirley] looks up to her father, [Kyle]. [Shirley] decided to take her son [Drew] out to have Mexican food for Dinner. [Drew] enjoyed spending time with his mother. [Andrew] and his brother [Drew] went to the park. They threw a ball around and played with their dog.","('Drew', 'Kyle')",grandfather,mother-father
2851,"[Andrew]'s grandmother [Karen] and mother [Shirley] went to get their nails done togehter. [Constance]'s mother, [Shirley], was eager to see [Constance]'s brother, [Andrew].","('Shirley', 'Karen')",mother,son-grandmother
2852,"[Kyle] asked his granddaughter [Verdie] to take him to a doctor's appointment. [Verdie] asked her sister [Amanda] to come along but she said she could n't make it. [Verdie] asked her sister [Christine] to play with her. [Christine] did n't want to, she wanted to play with her sister [Amanda] instead.","('Kyle', 'Amanda')",granddaughter,granddaughter-sister
2853,"[Kyle] went hunting with his son, [Edward]. [Eric] and his brother [Edward] went fishing but [Eric] did n't invite his other brother [Henry]. [Henry] has always felt ignored in his big family. His brother [Edward] always got all the attention of their parents, who recounted his every accomplishment to all the household.","('Henry', 'Kyle')",father,brother-father
2854,"[Benny] loves to play baseball with his dad, [Edward]. [Edward] and his daughter [Dionne] go to the beach every year. They always have an amazing time. [Kristen] and her husband [Edward] just got back from their honeymoon in Hawaii. They had a wonderful time there. [Benny] wanted to get a good gift for his sister, [Dionne]","('Kristen', 'Dionne')",daughter,husband-daughter
2855,"[Christine] bought some shoes for her father [Henry]. [John] proposed to his wife [Michelle] over a year ago. [John] was having an argument with her sister, [Christine]. [Henry] is a man with a son named [John].","('Michelle', 'Henry')",father-in-law,husband-father
2856,"[Jeffery] took his sister [Dionne] out to dinner for her birthday. [Karen] was so proud of her granddaughter, [Dionne], graduating at the top of her class. [Karen] is [Jeffery] 'grandmother. [Karen] and her husband [Kyle] went on a trip to the Netherlands last year.","('Kyle', 'Jeffery')",grandson,wife-grandson
2857,"[Dionne] does n't always get along with her brother [Benny]. Sometimes they fight like siblings do. [Kristen] took her son [Benny] shopping for new school clothes. They had a good time. [Kristen] took her daughter, [Dionne], out to High Tea yesterday afternoon. [Benny] loves his grandmother [Karen] because she has lots of toys at her house for him to play with.","('Karen', 'Dionne')",granddaughter,grandson-sister
2858,"[Karen] was surprised when her husband, [Kyle], and her son, [Vernon], came back early from their trip to Spain. [Theresa] was furious with [Vernon], her brother, since he cancelled the family trip. [Theresa]'s Mom, [Karen], was heartbroken the trip would n't take place.","('Kyle', 'Vernon')",son,wife-son
2859,[Shirley] is ready to dye Easter eggs with [Constance]! [Shirley] does n't like her brother [Edward]. [Andrew] asked his mother [Shirley] where babies came from. [Shirley] told him they came from the stork. [Constance]'s brother [Andrew] was going to be the star in the new show.,"('Constance', 'Edward')",uncle,mother-brother
2860,"[Theresa] and her sister [Kristen] went shopping at the mall. [Theresa]'s daughter [Verdie] stayed home to study. [Vernon] has a happy life. He loves his family, even when he fights sometimes with them. [Theresa] is the sister of [Vernon], and he usually gets along with her, however, [Vernon] is also the brother of [Kristen], and they fight every now and then.","('Kristen', 'Verdie')",niece,sister-daughter
2861,"[Karen] scolded her son [Henry] for leaving the front door unlocked. [Henry] blamed the unlocked door on his sister [Shirley]. [Constance] was mad at her mother [Shirley]. [Karen], [Shirley]'s mother tried to intervene.","('Karen', 'Constance')",granddaughter,daughter-daughter
2862,"[Kristen] and her sister [Shirley] were getting together this weekend so that they could go hiking together they had n't spent time together alone in a while. [Shirley] is married to Thomas and when she was 24, the couple welcomed [Constance] into the world. [Henry] and his sister [Shirley] were hoping for a snow day. [Constance] got a big birthday cake from her aunt [Kristen].","('Henry', 'Kristen')",sister,sister-sister
2863,"[Constance] is getting married. She is looking forward to her sister, [Stacy], attending. They have n't seen each other since [Stacy] relocated to California with her husband 3 years ago. [Shirley] took her daughter, [Constance], to lunch. [Shirley] could n't wait to get off the plane to see her mother, [Stacy]. [Constance] could n't wait to pick up her husband [James] at the airport.","('James', 'Shirley')",mother-in-law,wife-mother
2864,[Theresa] and her daughter [Amanda] went to church. They were both very religious. [Theresa] scolded her son [John] for leaving the front door unlocked. [John] blamed the unlocked door on his sister [Amanda]. [Christine] was celebrating her birthday with her mother [Theresa].,"('Christine', 'Amanda')",sister,mother-daughter
2865,[Arthur] bought a new paint set for his sister [Serena]. [Serena] wanted to paint a picture for her grandfather [Kyle]. [Kyle]'s grandson [Carl] likes to go to the basketball games with his sister [Serena].,"('Kyle', 'Arthur')",grandson,granddaughter-brother
2866,[Arthur]'s father has a sister named [Shirley]. [Robin]'s biggest accomplishment is raising her son [Arthur]. [Eric] was delighted to watch his son [Arthur] steal third base in the Championship baseball game. [Robin] thought about how fortunate she was as she watched the sunset on the beach with her husband [Eric].,"('Robin', 'Shirley')",sister,son-aunt
2867,[Lonnie] and his sister [Dionne] took their father out to eat for his birthday. They had a great time. [Edward] went to visit his brother [Vernon] yesterday and his daughter [Dionne] wanted to come along. He told her no because she needed to get her homework done. [Edward] and his son [Lonnie] went to the store to by bread.,"('Vernon', 'Dionne')",niece,brother-daughter
2868,"[Christine] and her sister [Amanda] were playing in the Yard. [Christine] got hurt and ran to her mother [Theresa]. [John] has a happy life. He loves his family, even when he fights sometimes with them. [Christine] is the sister of [John], and he usually gets along with her, however, [John] is also the brother of [Amanda], and they fight every now and then.","('Amanda', 'Theresa')",mother,sister-mother
2869,"[Vernon] and his wife [Shirley] are picking up [Vernon]'s son [Stacy] from her first day of school. [Stacy] asked her mom, [Shirley], to watch the dog while she was away. [Stacy]'s brother, [Drew], did it because he is better with dogs.","('Shirley', 'Drew')",son,daughter-brother
2870,"[Vernon] went jogging with his brother [Edward]. [Edward]'s brother [Eric] prefers running instead. [Jeffery] 'uncle, [Vernon], bought him a new fishing rod [Edward] went to the baseball game with his son [Jeffery]","('Eric', 'Vernon')",brother,brother-brother
